// PatSize	  TextSize	  Naive-RT	    KMP-RT
       100	    890000	      7168	      6750
      1000	    890000	      7372	      6799
     10000	    890000	      7605	      6850
    100000	    890000	      8861	      4351
        10	    900000	      9162	      9340
       100	    900000	      7701	      8637
      1000	    900000	      7259	      8353
     10000	    900000	      8292	      6655
    100000	    900000	     10636	      4830
        10	    910000	      9301	      7094
       100	    910000	      8935	      7059
      1000	    910000	      8697	      6986
     10000	    910000	      7744	      6285
    100000	    910000	      9457	      4734
        10	    920000	      7737	      7015
       100	    920000	      7432	      6949
      1000	    920000	      7412	      6823
     10000	    920000	      8100	      6922
    100000	    920000	      9978	      4627
        10	    930000	      8012	      7185
       100	    930000	      8050	      7263
      1000	    930000	      7503	      6990
     10000	    930000	      8023	      6440
    100000	    930000	      9354	      4988
        10	    940000	      9843	      7231
       100	    940000	      7843	      7379
      1000	    940000	      8230	      7561
     10000	    940000	      9271	      6953
    100000	    940000	      9468	      4663
        10	    950000	      8424	      7110
       100	    950000	      7674	      7124
      1000	    950000	      7631	      7259
     10000	    950000	      8339	      7028
    100000	    950000	      9436	      4824
        10	    960000	      8110	      7005
       100	    960000	      7969	      6970
      1000	    960000	      7936	      7496
     10000	    960000	      8057	      6477
    100000	    960000	      9527	      4815
        10	    970000	      8443	      6878
       100	    970000	      7764	      6950
      1000	    970000	      7662	      7749
     10000	    970000	      7802	      6771
    100000	    970000	      9316	      5000
        10	    980000	      8224	      7390
       100	    980000	      8092	      7607
      1000	    980000	      9799	      7526
     10000	    980000	      8124	      7549
    100000	    980000	      9661	      5412
        10	    990000	      8848	      7352
       100	    990000	      8431	      6916
      1000	    990000	      8399	      7503
     10000	    990000	      8036	      7591
    100000	    990000	      9697	      4822
        10	   1000000	      8492	      7875
       100	   1000000	      8015	      7694
      1000	   1000000	      8386	      7725
     10000	   1000000	      7975	      6938
    100000	   1000000	     10130	      5087
